Código,Código_Prerrequisito,Camino
7,1,"[[320.0, 220.0], [270.0, 220.0]]"
10,2,"[[320, 870], [270, 870]]"
13,1,"[[320.0, 490.0], [300.0, 490.0], [300.0, 230.0], [270.0, 230.0]]"
13,3,"[[320.0, 510.0], [270.0, 510.0]]"
14,9,"[[320.0, 620.0], [290.0, 620.0], [290.0, 360.0], [270.0, 360.0]]"
16,7,"[[590.0, 370.0], [580.0, 370.0], [580.0, 260.0], [540.0, 260.0]]"
17,14,"[[590, 610], [540, 610]]"
19,17601,"[[1940, 1270], [1890, 1270]]"
20,3,"[[590.0, 490.0], [580.0, 490.0], [580.0, 460.0], [280.0, 460.0], [280.0, 480.0], [270.0, 480.0]]"
23,16,"[[860.0, 370.0], [810.0, 370.0]]"
24,88,"[[860, 240], [810, 240]]"
25,91,"[[860, 740], [810, 740]]"
26,10,"[[590, 870], [540, 870]]"
27,16,"[[860.0, 480.0], [850.0, 480.0], [850.0, 380.0], [810.0, 380.0]]"
27,13,"[[860.0, 490.0], [820.0, 490.0], [820.0, 450.0], [550.0, 450.0], [550.0, 490.0], [540.0, 490.0]]"
28,91,"[[860.0, 870.0], [820.0, 870.0], [820.0, 800.0], [810.0, 800.0]]"
29,27,"[[1130, 490], [1080, 490]]"
31,17,"[[860.0, 630.0], [810.0, 630.0]]"
32,25,"[[1130, 740], [1080, 740]]"
33,28,"[[1130, 870], [1080, 870]]"
35,38,"[[1400.0, 740.0], [1380.0, 740.0], [1380.0, 400.0], [1350.0, 400.0]]"
35,23,"[[1400.0, 750.0], [1370.0, 750.0], [1370.0, 720.0], [1100.0, 720.0], [1100.0, 370.0], [1080.0, 370.0]]"
36,31,"[[1130, 620], [1080, 620]]"
37,33,"[[1400, 870], [1350, 870]]"
38,24,"[[1130.0, 350.0], [1110.0, 350.0], [1110.0, 240.0], [1080.0, 240.0]]"
41,35,"[[1670.0, 780.0], [1620.0, 780.0]]"
42,20,"[[1400.0, 490.0], [1370.0, 490.0], [1370.0, 450.0], [830.0, 450.0], [830.0, 480.0], [810.0, 480.0]]"
44,17,"[[1400.0, 410.0], [1370.0, 410.0], [1370.0, 430.0], [840.0, 430.0], [840.0, 610.0], [810.0, 610.0]]"
44,38,"[[1400.0, 380.0], [1350.0, 380.0]]"
45,32,"[[1400.0, 620.0], [1390.0, 620.0], [1390.0, 770.0], [1350.0, 770.0]]"
48,29,"[[1670.0, 890.0], [1660.0, 890.0], [1660.0, 950.0], [1360.0, 950.0], [1360.0, 540.0], [1350.0, 540.0]]"
48,35,"[[1670.0, 870.0], [1660.0, 870.0], [1660.0, 790.0], [1620.0, 790.0]]"
49,41,"[[1940.0, 780.0], [1890.0, 780.0]]"
50,32,"[[1670.0, 370.0], [1630.0, 370.0], [1630.0, 820.0], [1390.0, 820.0], [1390.0, 780.0], [1350.0, 780.0]]"
50,44,"[[1670.0, 360.0], [1620.0, 360.0]]"
51,37,"[[1670.0, 660.0], [1650.0, 660.0], [1650.0, 880.0], [1620.0, 880.0]]"
51,32,"[[1670.0, 640.0], [1640.0, 640.0], [1640.0, 830.0], [1380.0, 830.0], [1380.0, 800.0], [1350.0, 800.0]]"
52,38,"[[1670.0, 490.0], [1660.0, 490.0], [1660.0, 440.0], [1390.0, 440.0], [1390.0, 390.0], [1350.0, 390.0]]"
53,47,"[[1400, 100], [1350, 100]]"
54,48,"[[1940.0, 880.0], [1890.0, 880.0]]"
55,53,"[[1670, 100], [1620, 100]]"
67,50,"[[1940, 360], [1890, 360]]"
88,7,"[[590.0, 240.0], [540.0, 240.0]]"
91,14,"[[590, 740], [550, 740], [550, 620], [540, 620]]"
17602,19,"[[2210, 1270], [2160, 1270]]"
